;Strain;Positive Traits;Negative Traits;P/N ratio;Score;Genus;Species;Origin;Desired enzymes;Undesired enzymes;Found on
1;NCC1840;0;1;0.0;-0.5;censored_genus;censored_species;censored_origin;;2.5.1.47, ;not meat
2;NCC1868;0;1;0.0;-0.5;censored_genus;censored_species;censored_origin;;2.5.1.47, ;not meat
3;NCC1915;0;1;0.0;-0.5;censored_genus;censored_species;censored_origin;;2.5.1.47, ;not meat
4;NCC1960;0;1;0.0;-0.5;censored_genus;censored_species;censored_origin;;2.5.1.47, ;meat
5;NCC1966;0;1;0.0;-0.5;censored_genus;censored_species;censored_origin;;2.5.1.47, ;meat
6;NCC2125;0;1;0.0;-0.5;censored_genus;censored_species;censored_origin;;2.5.1.47, ;not meat
7;NCC2435;0;1;0.0;-0.5;censored_genus;censored_species;censored_origin;;2.5.1.47, ;meat
8;NCC2438;0;1;0.0;-0.5;censored_genus;censored_species;censored_origin;;2.5.1.47, ;meat
9;NCC2441;0;1;0.0;-0.5;censored_genus;censored_species;censored_origin;;2.5.1.47, ;meat
10;NCC119;0;1;0.0;-0.5;censored_genus;censored_species;censored_origin;;2.5.1.47, ;not meat
11;NCC134;0;1;0.0;-0.5;censored_genus;censored_species;censored_origin;;2.5.1.47, ;not meat
12;NCC710;0;1;0.0;-0.5;censored_genus;censored_species;censored_origin;;2.5.1.47, ;not meat
13;NCC738;0;1;0.0;-0.5;censored_genus;censored_species;censored_origin;;2.5.1.47, ;not meat
14;NCC936;0;1;0.0;-0.5;censored_genus;censored_species;censored_origin;;2.5.1.47, ;
15;NCC147;0;1;0.0;-0.5;censored_genus;censored_species;censored_origin;;2.5.1.47, ;not meat
16;NCC1579;0;1;0.0;-0.5;censored_genus;censored_species;censored_origin;;2.5.1.47, ;
17;NCC164;0;1;0.0;-0.5;censored_genus;censored_species;censored_origin;;2.5.1.47, ;
18;NCC167;0;1;0.0;-0.5;censored_genus;censored_species;censored_origin;;2.5.1.47, ;
