id;EC;Enzyme desired;Species;Strain;Gene;Substrate;Product;Comment;Weight
1;1.2.1.22;yes;ACEFA;NCC333;CDS0729 ;Methylglyoxal;Pyruvate;;0.4
2;1.2.1.22;yes;ACEFA;NCC366;CDS0503 ;Methylglyoxal;Pyruvate;;0.4
3;1.2.1.22;yes;ACEMA;NCC304;CDS1409 ;Methylglyoxal;Pyruvate;;0.4
4;1.2.1.22;yes;ACEMA;NCC415;CDS0819 ;Methylglyoxal;Pyruvate;;0.4
5;1.2.1.22;yes;ACEPA;NCC194;CDS1142 ;Methylglyoxal;Pyruvate;;0.4
6;1.2.1.22;yes;ACEPA;NCC197;CDS1159 ;Methylglyoxal;Pyruvate;;0.4
7;1.2.1.22;yes;ACEPA;NCC212;CDS0481 ;Methylglyoxal;Pyruvate;;0.4
8;1.2.1.22;yes;ACEPA;NCC225;CDS0501 ;Methylglyoxal;Pyruvate;;0.4
9;1.2.1.22;yes;ACEPA;NCC232;CDS0446 ;Methylglyoxal;Pyruvate;;0.4
10;1.2.1.22;yes;ACEPA;NCC241;CDS1348 ;Methylglyoxal;Pyruvate;;0.4
11;1.2.1.22;yes;ACEPA;NCC255;CDS0491 ;Methylglyoxal;Pyruvate;;0.4
12;1.2.1.22;yes;ACEPA;NCC271;CDS0446 ;Methylglyoxal;Pyruvate;;0.4
13;1.2.1.22;yes;ACEPA;NCC316;CDS1768 ;Methylglyoxal;Pyruvate;;0.4
14;1.2.1.22;yes;ACEPA;NCC395;CDS1792 ;Methylglyoxal;Pyruvate;;0.4
15;1.2.1.22;yes;ACEPA;NCC404;CDS2545 ;Methylglyoxal;Pyruvate;;0.4
16;1.2.1.22;yes;ACESE;NCC340;CDS0919 ;Methylglyoxal;Pyruvate;;0.4
17;1.2.1.22;yes;LACBU;NCC2905;CDS1723 ;Methylglyoxal;Pyruvate;;0.4
18;1.2.1.22;yes;LACBU;NCC436;CDS0894 ;Methylglyoxal;Pyruvate;;0.4
19;1.2.1.22;yes;LACPA;NCC2906;CDS0760 ;Methylglyoxal;Pyruvate;;0.4
20;1.2.1.22;yes;LAPAR;NCC2877;CDS2513 ;Methylglyoxal;Pyruvate;;0.4
21;1.2.1.22;yes;LAPAR;NCC2952;CDS2619 ;Methylglyoxal;Pyruvate;;0.4
22;1.2.1.22;yes;LACSP;NCC372;CDS1505 ;Methylglyoxal;Pyruvate;;0.4
23;1.2.1.22;yes;OENOE;NCC1004;CDS0297 ;Methylglyoxal;Pyruvate;;0.4
24;1.2.1.22;yes;OENOE;NCC1014;CDS0283 ;Methylglyoxal;Pyruvate;;0.4
25;1.2.1.22;yes;OENOE;NCC1024;CDS0324 ;Methylglyoxal;Pyruvate;;0.4
26;1.2.1.22;yes;OENOE;NCC1033;CDS0309 ;Methylglyoxal;Pyruvate;;0.4
27;1.2.1.22;yes;OENOE;NCC1055;CDS0420 ;Methylglyoxal;Pyruvate;;0.4
28;1.2.1.22;yes;OENOE;NCC1066;CDS0420 ;Methylglyoxal;Pyruvate;;0.4
29;1.2.1.22;yes;OENOE;NCC1074;CDS0311 ;Methylglyoxal;Pyruvate;;0.4
30;1.2.1.22;yes;OENOE;NCC1081;CDS0203 ;Methylglyoxal;Pyruvate;;0.4
31;1.2.1.22;yes;OENOE;NCC1086;CDS0394 ;Methylglyoxal;Pyruvate;;0.4
32;1.2.1.22;yes;OENOE;NCC1093;CDS0396 ;Methylglyoxal;Pyruvate;;0.4
33;1.2.1.22;yes;OENOE;NCC1099;CDS0216 ;Methylglyoxal;Pyruvate;;0.4
34;1.2.1.22;yes;OENOE;NCC1106;CDS0323 ;Methylglyoxal;Pyruvate;;0.4
35;1.2.1.22;yes;OENOE;NCC1113;CDS0417 ;Methylglyoxal;Pyruvate;;0.4
36;1.2.1.22;yes;OENOE;NCC1121;CDS0404 ;Methylglyoxal;Pyruvate;;0.4
37;1.2.1.22;yes;OENOE;NCC1128;CDS0395 ;Methylglyoxal;Pyruvate;;0.4
38;1.2.1.22;yes;OENOE;NCC1137;CDS0266 ;Methylglyoxal;Pyruvate;;0.4
39;1.2.1.22;yes;OENOE;NCC1145;CDS0394 ;Methylglyoxal;Pyruvate;;0.4
40;1.2.1.22;yes;OENOE;NCC1153;CDS0394 ;Methylglyoxal;Pyruvate;;0.4
41;1.2.1.22;yes;OENOE;NCC1164;CDS0203 ;Methylglyoxal;Pyruvate;;0.4
42;1.2.1.22;yes;OENOE;NCC1172;CDS0394 ;Methylglyoxal;Pyruvate;;0.4
43;1.2.1.22;yes;OENOE;NCC1180;CDS0431 ;Methylglyoxal;Pyruvate;;0.4
