;Key;GENUS;SPECIES;FOUND;ORIGIN
0;0;censored_genus;censored_species;;censored_origin
1;1;censored_genus;censored_species;1.0;censored_origin
2;10;censored_genus;censored_species;0.0;censored_origin
3;100;censored_genus;censored_species;0.0;censored_origin
4;1000;censored_genus;censored_species;1.0;censored_origin
5;10000;censored_genus;censored_species;;censored_origin
6;1001;censored_genus;censored_species;;censored_origin
7;1002;censored_genus;censored_species;;censored_origin
8;1003;censored_genus;censored_species;;censored_origin
9;1004;censored_genus;censored_species;;censored_origin
10;1005;censored_genus;censored_species;0.0;censored_origin
11;1006;censored_genus;censored_species;1.0;censored_origin
12;1007;censored_genus;censored_species;;censored_origin
13;1008;censored_genus;censored_species;;censored_origin
14;1009;censored_genus;censored_species;0.0;censored_origin
15;1010;censored_genus;censored_species;;censored_origin
16;1011;censored_genus;censored_species;1.0;censored_origin
17;1012;censored_genus;censored_species;1.0;censored_origin
18;1013;censored_genus;censored_species;;censored_origin
19;1014;censored_genus;censored_species;;censored_origin
20;1015;censored_genus;censored_species;1.0;censored_origin
21;1016;censored_genus;censored_species;0.0;censored_origin
22;1017;censored_genus;censored_species;;censored_origin
23;1018;censored_genus;censored_species;1.0;censored_origin
24;1019;censored_genus;censored_species;;censored_origin
25;102;censored_genus;censored_species;0.0;censored_origin
26;1020;censored_genus;censored_species;1.0;censored_origin
27;1021;censored_genus;censored_species;;censored_origin
28;1022;censored_genus;censored_species;;censored_origin
29;1023;censored_genus;censored_species;0.0;censored_origin
30;1024;censored_genus;censored_species;;censored_origin
31;1025;censored_genus;censored_species;0.0;censored_origin
32;1026;censored_genus;censored_species;0.0;censored_origin
33;1027;censored_genus;censored_species;1.0;censored_origin
34;1028;censored_genus;censored_species;1.0;censored_origin
35;1029;censored_genus;censored_species;;censored_origin
36;103;censored_genus;censored_species;;censored_origin
37;1030;censored_genus;censored_species;;censored_origin
38;1031;censored_genus;censored_species;0.0;censored_origin
39;1032;censored_genus;censored_species;;censored_origin
40;1033;censored_genus;censored_species;;censored_origin
41;1034;censored_genus;censored_species;1.0;censored_origin
42;1035;censored_genus;censored_species;0.0;censored_origin
43;1036;censored_genus;censored_species;;censored_origin
44;1037;censored_genus;censored_species;0.0;censored_origin
45;1038;censored_genus;censored_species;;censored_origin
46;1039;censored_genus;censored_species;0.0;censored_origin
47;104;censored_genus;censored_species;0.0;censored_origin
48;1040;censored_genus;censored_species;0.0;censored_origin
49;1041;censored_genus;censored_species;0.0;censored_origin
50;1042;censored_genus;censored_species;;censored_origin
51;1043;censored_genus;censored_species;0.0;censored_origin
52;1044;censored_genus;censored_species;2.0;censored_origin
53;1045;censored_genus;censored_species;;censored_origin
54;1046;censored_genus;censored_species;2.0;censored_origin
55;1047;censored_genus;censored_species;0.0;censored_origin
56;1048;censored_genus;censored_species;0.0;censored_origin
57;1049;censored_genus;censored_species;;censored_origin
58;1050;censored_genus;censored_species;0.0;censored_origin
59;1051;censored_genus;censored_species;0.0;censored_origin
60;1052;censored_genus;censored_species;1.0;censored_origin
61;1053;censored_genus;censored_species;;censored_origin
62;1054;censored_genus;censored_species;0.0;censored_origin
63;1055;censored_genus;censored_species;0.0;censored_origin
64;1056;censored_genus;censored_species;;censored_origin
65;1057;censored_genus;censored_species;0.0;censored_origin
66;1058;censored_genus;censored_species;0.0;censored_origin
67;1059;censored_genus;censored_species;;censored_origin
68;106;censored_genus;censored_species;;censored_origin
